devontown,agenew,count(borrower)
Crediton,34,74
Crediton,35,89
Crediton,36,95
Crediton,37,87
Crediton,38,103
Crediton,39,79
Crediton,4,124
Crediton,40,94
Crediton,41,105
Crediton,42,100
Crediton,43,74
Crediton,44,81
Crediton,45,78
Crediton,46,105
Crediton,47,82
Crediton,48,86
Crediton,49,83
Crediton,5,158
Crediton,50,85
Crediton,51,88
Crediton,52,79
Crediton,53,68
Crediton,54,72
Crediton,55,53
Crediton,56,66
Crediton,57,59
Crediton,58,59
Crediton,59,52
Crediton,6,158
Crediton,60,43
Crediton,61,61
Crediton,62,56
Crediton,63,86
Crediton,64,72
Crediton,65,66
Crediton,66,57
Crediton,67,91
Crediton,68,70
Crediton,69,86
Crediton,7,172
Crediton,70,77
Crediton,71,70
Crediton,72,60
Crediton,73,43
Crediton,74,44
Crediton,75,37
Crediton,76,27
Crediton,77,40
Crediton,78,47
Crediton,79,35
Crediton,8,144
Crediton,80,34
Crediton,81,16
Crediton,82,18
Crediton,83,20
Crediton,84,21
Crediton,85,19
Crediton,86,20
Crediton,87,16
Crediton,88,5
Crediton,89,11
Crediton,9,166
Crediton,90,9
Crediton,91,6
Crediton,92,5
Crediton,93,4
Crediton,94,1
Crediton,95,1
Crediton,96,1
Crediton,97,2
Crediton,98,1
Cullompton,,453
Cullompton,0,14
Cullompton,1,53
Cullompton,10,202
Cullompton,103,1
Cullompton,11,193
Cullompton,112,1
Cullompton,113,3
Cullompton,114,1
Cullompton,115,1
Cullompton,116,6
Cullompton,12,199
Cullompton,13,150
Cullompton,14,145
Cullompton,15,137
Cullompton,16,108
Cullompton,17,116
Cullompton,18,116
Cullompton,19,88
Cullompton,2,79
Cullompton,20,102
Cullompton,21,87
Cullompton,22,92
Cullompton,23,74
Cullompton,24,85
Cullompton,25,98
Cullompton,26,94
Cullompton,27,98
Cullompton,28,105
Cullompton,29,86
Cullompton,3,105
Cullompton,30,107
Cullompton,31,122
Cullompton,32,91
Cullompton,33,111
Cullompton,34,117
Cullompton,35,107
